,AT,V,AP,RH,EP
51,8.42,42.28,1008.4,87.78,481.91
52,23.7,69.23,1011.73,73.18,437.15
53,15.71,40.12,1012.81,97.46,462.6
54,29.11,74.9,1003.31,74.01,432.43
55,28.26,65.34,1014.56,43.4,441.03
56,15.92,41.2,1016.04,73.37,468.91
57,33.4,70.8,1009.17,57.01,432.46
58,31.92,68.3,1015.58,41.55,430.07
59,26.87,74.99,1002.48,71.91,437.78
60,5.23,40.78,1025.13,92.74,483.12
61,15.72,41.76,1023.07,66.95,462.19
62,17.74,50.88,1015.56,89.78,457.71
63,27.13,59.54,1004.33,73.27,438.32
64,25.82,66.49,1013.2,60.32,434.35
65,34.2,68.14,1002.7,56.09,427.05
66,19.13,68.61,1010.65,94.92,448.69
67,11.77,41.06,1021.45,76.63,475.88
68,10.25,41.46,1018.67,84.41,479.28
69,23.82,48.92,1010.48,44.45,446.85
70,30.1,66.25,1009.38,65.41,434.99
71,29.92,69.75,1009.12,67.15,441.5
72,29.63,66.75,1018.08,58.46,433.26
73,30.61,77.17,1009.49,73.19,430.46
74,16.18,50.88,1014.06,100.09,455.14
75,31.66,73.91,1004.49,68.13,431.26
76,29.14,61.5,1009.64,39.95,437.76
77,18.4,43.96,1012.4,77.81,464.63
78,6.31,42.07,1004.61,77.74,483.27
79,23.4,72.99,1009.48,88.82,438.51
80,33.62,77.17,1009.38,63.71,431.03
81,6.89,43.65,1019.87,72.77,484.0
82,27.41,69.98,1008.51,65.49,431.64
83,26.37,54.5,1014.48,66.31,451.78
84,26.58,59.39,1014.49,65.87,439.46
85,21.24,41.67,1012.6,49.27,459.81
86,24.98,58.05,1011.69,69.97,447.15
87,26.63,64.44,1012.66,61.19,442.0
88,18.87,52.08,1005.25,99.19,449.61
89,5.12,40.78,1025.45,96.88,481.28
90,31.1,71.32,1008.09,45.87,437.54
91,7.91,39.96,1023.57,88.44,475.52
92,14.97,58.2,1019.52,81.13,458.68
93,28.92,61.02,1011.19,56.13,436.76
94,22.92,61.9,1013.27,78.32,446.08
95,12.55,38.91,1012.58,75.44,474.35
96,9.38,41.44,1015.09,86.8,481.96
97,10.28,41.46,1018.44,85.23,479.66
98,30.31,77.24,1008.02,67.84,435.28
99,25.34,71.06,1007.74,92.52,434.86
100,30.47,70.02,1009.65,62.03,435.72
101,20.18,56.53,1020.3,77.1,454.14
102,21.31,46.97,1014.08,62.57,455.76
103,22.1,74.87,1009.4,85.78,442.83
104,20.09,63.94,1020.82,74.16,449.47
105,22.36,58.79,1016.69,73.6,445.76
106,9.43,37.14,1013.03,74.99,473.57
107,28.86,49.3,1003.93,52.85,435.75
108,23.25,70.32,1009.28,86.52,437.96
109,22.7,60.84,1019.15,71.48,438.59
110,21.3,59.39,1013.83,84.53,444.21
111,19.94,44.9,1008.52,74.69,459.47
112,14.97,43.67,1011.13,87.33,465.54
113,13.83,40.78,1024.85,73.08,458.85
114,23.39,71.25,1005.22,93.7,435.68
115,21.48,47.43,1006.88,63.54,449.2
116,22.63,58.41,1013.69,90.32,445.43
117,20.01,45.09,1014.21,38.19,453.96
118,20.52,43.79,1015.9,68.1,463.93
119,13.58,49.83,1008.9,86.8,465.82
120,14.38,44.84,1024.59,81.68,471.6
121,28.53,69.84,1004.46,68.03,427.72
122,25.93,69.34,1008.91,79.43,434.08
123,17.84,61.27,1020.1,70.68,454.57
124,6.28,41.06,1020.96,90.91,489.79
125,8.16,39.64,1011.21,85.56,481.78
126,18.61,67.71,1004.07,84.49,443.57
127,16.23,43.72,1009.96,83.01,457.9
128,8.66,41.01,1022.51,98.55,472.16
129,10.17,40.46,1018.54,68.21,470.33
130,6.48,40.27,1010.55,82.12,486.68
131,12.69,40.75,1016.05,82.92,472.68
132,23.77,61.87,1009.8,54.83,445.72
133,14.43,43.5,1021.86,83.14,466.58
134,12.26,39.96,1011.79,79.06,470.87
135,14.55,42.74,1027.29,66.64,457.77
136,24.57,51.95,1005.8,70.07,448.15
137,10.25,41.26,1007.44,98.08,476.03
138,21.96,51.43,1007.28,89.96,442.87
139,9.82,39.64,1010.79,69.22,477.93
140,18.58,44.6,1016.61,48.15,459.06
141,20.57,44.9,1008.39,62.69,456.18
142,9.99,43.52,1022.95,99.67,473.64
143,16.76,43.67,1011.27,70.55,462.44
144,25.58,47.01,1014.5,63.53,454.39
145,19.13,66.86,1012.95,71.24,453.31
146,12.75,40.64,1020.44,83.17,466.93
147,29.46,49.3,1003.88,54.1,436.37
148,15.59,52.75,1024.3,59.93,458.87
149,14.2,43.02,1012.18,57.07,470.67
150,14.05,40.35,1011.52,66.21,475.54
151,32.35,77.95,1014.76,60.88,432.72
152,21.41,56.9,1007.03,79.41,441.41
153,10.61,37.5,1008.8,100.13,472.9
154,19.13,40.79,1004.47,91.7,457.83
155,17.28,44.06,1018.15,66.93,462.05
156,28.66,50.05,1006.08,47.74,435.94
157,12.91,41.16,1011.9,89.19,472.71
158,17.32,43.7,1015.13,61.66,464.5
159,18.74,59.21,1018.3,91.55,449.77
160,26.69,70.36,1006.82,68.29,435.04
161,12.28,40.55,1005.72,98.56,472.47
162,14.46,44.78,1007.64,67.03,459.31
163,30.54,70.17,999.42,64.32,434.62
164,27.58,66.48,1004.82,51.23,435.34
165,32.17,73.21,1001.43,69.86,430.64
166,26.23,59.87,1012.93,66.62,447.16
167,11.69,35.76,1019.02,55.6,471.72
168,14.73,39.82,1012.67,80.82,470.41
169,12.36,48.04,1012.8,93.59,468.37
170,9.52,40.96,1023.48,86.49,483.59
171,27.32,73.42,1012.07,86.3,432.74
172,23.81,73.17,1012.13,86.13,438.11
173,7.92,42.28,1008.55,81.68,484.75
174,23.58,58.82,1009.68,81.38,445.01
175,20.78,60.84,1018.66,80.4,445.82
176,19.68,68.28,1002.62,71.57,452.47
177,22.97,62.4,1010.25,75.18,445.3
178,6.89,39.37,1020.21,74.17,486.9
179,19.98,56.53,1020.22,73.53,454.89
180,21.71,60.27,1015.74,89.76,441.19
181,27.71,69.51,1009.65,58.38,435.04
182,10.46,37.5,1013.12,76.74,472.16
183,27.18,62.66,1009.89,52.83,442.16
184,25.56,50.05,1005.67,69.29,442.49
185,19.69,39.72,1001.49,60.34,456.55
186,31.37,76.86,997.34,62.94,431.03
187,14.17,41.67,1013.4,72.77,471.42
188,15.6,43.71,1024.88,80.37,463.34
189,25.3,71.58,1010.18,87.36,433.97
190,7.09,39.37,1020.07,73.26,487.0
191,6.07,41.14,1027.57,86.98,480.19
192,9.86,38.38,1018.22,85.35,479.56
193,14.73,40.35,1011.15,65.2,470.03
194,31.32,74.33,1012.92,36.48,429.57
195,27.92,69.23,1013.21,44.43,435.62
196,25.63,58.86,1014.86,52.75,443.84
197,16.37,36.99,1006.37,90.11,463.76
198,28.31,65.71,1014.67,59.29,447.26
199,24.44,69.84,1005.34,80.37,430.3
200,11.33,41.5,1013.58,88.7,475.01
201,23.87,63.94,1019.02,44.28,445.11
202,21.14,48.78,1020.39,86.2,450.35
203,22.24,60.07,1015.93,62.25,446.14
204,23.07,70.47,1008.64,83.37,439.04
205,25.95,59.14,1016.42,67.03,438.46
206,16.44,43.96,1013.66,76.31,468.57
207,20.66,41.54,1014.68,79.7,461.55
208,15.01,39.52,1017.53,72.0,468.02
209,20.51,63.86,1020.65,75.36,447.18
210,24.1,52.84,1006.47,47.58,444.69
211,9.38,40.46,1019.29,75.77,474.1
212,27.49,71.94,1008.25,68.29,428.27
213,32.84,68.14,1003.59,43.88,425.18
214,20.83,44.78,1008.51,35.9,460.6
215,28.69,67.25,1017.71,44.6,436.21
216,9.35,44.03,1011.02,88.11,476.25
217,17.37,41.23,998.79,68.44,461.08
218,14.84,41.48,1017.26,63.42,460.3
219,27.88,68.94,1007.68,75.68,435.04
220,17.83,43.72,1008.64,78.72,453.86
221,7.64,42.28,1008.46,84.29,484.78
222,25.67,74.78,1010.24,68.87,440.48
223,23.1,51.3,1011.93,80.05,452.17
224,27.13,69.45,1013.9,51.16,434.47
225,26.95,70.8,1009.73,82.95,436.8
226,19.4,42.44,1013.19,58.63,459.76
227,13.5,44.92,1023.87,87.17,468.85
228,11.97,41.04,1026.42,70.75,468.81
229,18.11,58.95,1016.61,89.17,454.29
230,24.1,71.29,1007.96,67.56,442.8
231,20.29,65.27,1013.17,74.94,445.52
232,21.82,65.27,1013.86,72.81,447.43
233,29.45,75.6,1018.12,50.68,437.31
234,17.36,39.53,1008.28,68.87,456.57
235,24.97,58.95,1017.19,56.24,440.03
236,13.72,45.09,1012.95,87.41,466.24
237,26.49,61.86,1012.55,74.24,440.21
238,8.25,41.26,1020.59,91.84,475.17
239,12.8,44.9,1007.58,66.6,466.95
240,17.08,40.12,1012.17,81.5,457.81
241,31.4,71.06,1008.44,74.77,433.34
242,8.26,44.71,1020.85,68.82,485.19
243,21.22,59.15,1014.68,59.71,450.96
244,26.1,62.91,1012.44,60.91,446.05
245,19.91,51.19,1008.0,90.23,449.23
246,14.56,40.69,1015.48,73.73,469.31
247,10.22,41.74,1022.65,83.58,479.01
248,29.12,67.83,1008.05,46.86,432.46
249,16.97,39.16,1005.7,69.13,458.59
250,26.19,49.3,1003.69,65.88,440.13
251,23.65,66.05,1019.6,78.21,442.9
252,29.53,70.94,1007.22,70.68,432.43
253,19.69,56.65,1020.84,72.14,455.07
254,33.71,69.98,1013.09,42.62,431.99
255,32.14,75.08,1005.35,49.92,439.22
256,29.28,77.17,1009.4,76.3,433.14
257,7.01,37.8,1021.47,62.84,483.95
258,30.47,68.24,1009.55,64.98,427.94
259,29.13,47.93,1002.5,49.1,435.61
260,11.86,39.85,1013.0,66.92,478.29
261,26.16,52.36,1013.62,58.52,453.08
262,10.56,39.13,1010.19,87.12,463.14
263,8.58,40.72,1022.04,87.55,480.96
264,14.26,40.92,1022.07,73.96,460.38
265,23.48,73.67,1007.07,88.49,437.19
266,5.54,45.87,1008.69,95.91,478.02
267,16.98,43.99,1021.65,81.17,456.07
268,30.08,67.25,1017.6,53.09,434.01
269,10.63,39.61,1020.0,72.42,476.99
270,30.36,74.87,1008.96,61.87,435.31
271,29.56,70.4,1006.49,82.95,432.85
272,19.94,56.53,1020.48,76.43,453.8
273,27.55,64.96,999.73,57.34,431.33
274,31.44,79.74,1006.95,56.99,431.69
275,25.35,74.33,1015.29,77.84,435.66
276,4.11,38.44,1015.9,81.79,488.05
277,30.59,70.04,1010.28,50.56,429.13
278,14.04,48.79,1017.62,75.25,464.09
279,15.47,44.9,1021.59,81.74,465.61
280,10.53,37.5,1008.55,99.91,472.32
281,7.99,41.38,1021.95,78.77,487.57
282,22.29,45.01,1012.4,51.58,449.08
283,9.06,36.3,1015.14,58.71,477.38
284,10.05,37.14,1012.64,75.97,474.16
285,20.07,49.21,1012.34,56.8,454.25
286,30.65,71.98,1004.92,63.39,429.85
287,14.38,40.73,1017.48,90.64,462.98
288,27.76,71.97,1008.53,86.97,434.04
289,16.7,40.56,1019.04,50.9,470.84
290,11.57,41.38,1021.71,61.49,473.94
291,30.57,73.03,1013.75,73.68,437.42
292,15.6,41.04,1025.48,64.43,457.49
293,22.12,47.93,1005.5,84.47,443.41
294,21.33,58.46,1016.17,79.73,445.27
295,23.65,59.92,1010.19,89.53,436.74
296,6.8,39.37,1020.24,73.29,487.33
297,31.35,71.32,1005.99,62.35,434.43
298,23.99,68.12,1012.92,70.68,437.14
299,26.53,54.2,1012.9,66.73,439.96
300,31.59,62.7,1009.3,50.16,442.58
301,24.06,69.94,1005.47,60.46,436.88
302,27.28,44.89,1009.02,49.9,441.94
303,23.69,71.97,1009.62,93.03,438.62
304,11.46,39.1,1010.17,100.15,470.55
305,22.61,49.3,1003.51,83.02,441.76
306,21.84,45.09,1013.94,46.11,450.88
307,9.2,39.82,1013.19,91.25,482.89
308,17.75,49.25,1020.86,63.67,454.41
309,16.76,45.09,1014.28,57.71,458.67
310,22.69,65.12,1016.35,72.02,446.91
311,11.91,44.45,1021.39,84.49,466.52
312,26.63,61.47,1008.18,69.0,444.16
313,6.72,39.85,1011.84,84.66,489.09
314,9.44,43.99,1020.31,98.06,475.01
315,18.32,45.0,1022.67,46.38,471.43
316,18.31,62.1,1020.38,79.02,455.24
317,26.57,44.57,1007.76,50.39,445.49
318,34.33,69.05,1000.89,37.9,430.56
319,14.85,40.8,1025.38,53.29,471.78
320,29.33,64.84,1010.76,53.32,443.15
321,8.77,40.46,1019.68,77.84,475.0
322,11.35,38.91,1017.93,83.45,474.22
323,21.38,44.05,1005.69,81.66,445.71
324,26.66,64.27,1012.83,58.88,437.87
325,13.04,45.09,1013.0,87.68,467.44
326,29.47,71.32,1008.07,67.0,437.14
327,18.91,56.9,1006.98,84.07,448.24
328,12.75,42.34,1018.17,94.67,465.44
329,21.32,49.02,1008.81,85.81,445.65
330,24.26,67.69,1008.48,66.74,437.4
331,20.01,43.77,1012.13,65.53,455.66
332,21.35,59.04,1012.28,95.71,445.83
333,17.43,63.09,1019.87,92.77,449.36
334,27.86,65.18,1012.87,55.53,436.26
335,20.74,59.8,1015.46,76.39,452.99
336,27.73,67.69,1007.47,59.42,431.72
337,9.53,41.44,1018.01,80.09,481.83
338,28.5,79.74,1006.75,87.09,433.08
339,21.39,52.3,1009.2,79.77,446.87
340,14.54,46.18,1015.29,94.48,463.03
341,28.01,65.34,1014.68,46.86,440.77
342,30.51,70.94,1007.64,59.42,430.91
343,21.63,60.84,1018.16,77.53,445.93
344,26.39,71.25,999.8,89.12,430.34
345,13.84,41.26,1020.92,74.74,462.46
346,17.27,43.52,1021.37,76.73,460.08
347,21.89,58.05,1011.31,85.71,441.76
348,24.02,64.63,1020.49,55.17,449.66
349,31.92,75.33,1001.81,61.97,436.38
350,12.97,49.83,1008.69,91.49,452.07
351,15.89,43.96,1014.02,75.24,467.35
352,9.25,41.26,1020.51,91.21,473.87
353,15.99,43.5,1021.34,73.22,460.7
354,14.48,44.06,1018.73,75.88,467.46
355,21.68,64.15,1021.09,70.88,454.32
356,34.33,74.34,1001.74,42.75,435.76
357,31.98,64.05,1010.49,58.01,439.56
358,15.21,43.56,1012.92,56.61,467.0
359,13.56,42.34,1017.95,93.83,462.6
360,10.32,42.02,998.27,99.12,472.16
361,22.46,58.49,1011.5,70.54,448.46
362,29.3,68.08,1011.23,56.23,434.11
363,22.3,44.57,1008.48,67.58,449.74
364,21.91,70.32,1009.17,90.57,439.29
365,10.95,43.8,1022.61,63.46,473.2
366,24.96,68.12,1011.27,70.22,437.62
367,5.91,39.33,1010.18,95.53,491.49
368,5.25,40.07,1019.48,67.7,495.23
369,21.47,60.93,1006.46,87.83,442.75
370,10.16,39.3,1019.71,81.21,480.74
371,17.29,44.06,1016.24,77.56,461.38
372,17.46,40.22,1006.7,91.96,461.74
373,11.56,40.43,1025.48,74.75,489.54
374,7.51,41.01,1024.61,97.41,477.61
375,17.08,38.58,1015.41,73.42,461.49
376,9.27,42.02,1004.29,95.05,474.93
377,21.3,48.92,1010.92,65.09,447.89
378,8.51,40.81,1015.54,83.16,481.02
379,12.77,41.5,1014.13,86.8,470.68
380,25.04,65.48,1017.66,57.08,440.92
381,15.92,41.79,1006.24,79.42,458.68
382,29.97,69.14,1007.92,66.74,433.82
383,9.8,41.82,1032.98,67.55,473.72
384,9.01,38.56,1016.67,63.61,482.37
385,24.32,65.48,1017.55,59.02,443.31
386,21.41,50.32,1008.61,84.47,443.63
387,27.09,59.15,1013.02,55.18,438.9
388,23.49,47.45,1008.46,66.18,446.72
389,20.0,63.31,1017.06,63.1,449.68
390,13.4,41.58,1020.5,71.17,461.54
391,23.6,60.08,1017.51,63.02,451.97
392,21.03,70.02,1010.21,95.69,444.53
393,5.15,45.87,1008.02,98.36,479.61
394,17.16,58.86,1016.4,86.39,453.76
395,24.59,71.94,1006.89,88.52,430.28
396,23.05,65.94,1010.99,69.73,442.39
397,15.72,43.02,1011.98,45.74,466.33
398,25.56,70.32,1009.07,90.63,433.72
399,13.78,41.16,1021.65,75.77,460.44
400,29.35,69.04,1008.55,61.78,445.04
401,32.09,79.74,1006.92,61.5,432.85
402,14.63,40.0,1018.03,63.4,457.09
403,5.7,40.35,1012.18,91.57,488.8
404,28.15,74.9,1003.67,76.32,433.63
405,22.3,57.19,1006.4,75.28,445.1
406,27.71,72.99,1007.18,72.68,433.01
407,23.09,45.01,1012.25,43.95,453.45
408,10.02,52.75,1021.93,73.68,473.09
409,23.97,68.67,1006.63,76.83,441.53
410,7.82,38.91,1015.58,90.11,479.15
411,30.21,69.4,1003.69,62.89,438.18
412,24.12,62.44,1013.83,88.02,443.3
413,21.05,63.09,1016.49,91.23,447.45
414,13.93,40.24,1017.88,88.35,469.25
415,9.68,41.06,1022.75,87.44,476.67
416,17.48,49.39,1021.51,84.53,460.01
417,25.63,72.99,1008.2,86.8,436.64
418,20.36,66.05,1015.86,87.19,450.23
419,9.55,40.72,1023.12,68.06,481.08
420,13.45,41.16,1022.04,82.96,460.57
421,10.8,39.58,1011.99,87.54,478.24
422,28.15,72.99,1007.62,70.03,431.83
423,15.42,40.56,1021.23,59.37,469.33
424,25.24,57.17,1010.44,74.0,442.77
425,13.6,41.2,1015.92,85.05,467.42
426,18.68,46.0,1002.2,97.17,447.8
427,22.43,69.84,1006.94,75.54,436.19
428,23.37,70.94,1008.01,81.28,441.56
429,19.62,43.56,1012.89,37.6,463.33
430,14.35,39.39,1012.92,82.41,470.53
431,24.88,63.91,1009.41,77.75,447.28
432,20.67,63.56,1013.27,79.39,450.7
433,34.11,73.56,1006.77,45.92,432.78
434,19.15,44.89,1009.6,74.52,451.09
435,24.96,70.47,1007.73,76.48,438.23
436,18.86,42.18,1001.16,98.58,457.07
437,25.1,60.37,1005.83,72.53,438.44
438,10.15,43.41,1018.4,82.07,473.43
439,26.53,65.18,1012.77,64.37,437.39
440,26.05,46.21,1011.31,55.25,450.86
441,8.14,39.96,1023.41,88.86,477.05
442,30.8,73.56,1007.39,75.78,432.43
443,7.69,43.02,1014.51,85.23,486.46
444,15.3,43.67,1011.75,95.31,468.14
445,27.12,70.32,1009.94,52.67,429.08
446,25.76,74.87,1010.18,65.15,443.7
447,10.28,39.64,1010.45,74.15,477.65
448,30.91,79.74,1006.92,56.32,433.84
449,24.22,61.86,1013.39,80.11,442.65
450,5.67,45.87,1008.91,93.29,478.44
451,22.96,68.61,1011.15,76.62,447.18
452,24.54,65.46,1014.27,40.77,446.26
453,11.32,36.18,1015.03,64.68,472.67
454,15.15,53.82,1016.34,62.59,461.6
455,23.53,50.05,1005.63,78.4,443.71
456,29.08,66.54,1004.67,64.5,430.16
457,26.32,69.71,1009.39,67.05,441.25
458,21.89,74.93,1016.11,77.88,448.47
459,9.68,41.48,1018.24,71.04,473.31
460,16.73,54.3,1017.96,59.44,460.54
461,7.8,39.04,1018.46,66.5,482.31
462,23.29,65.61,1014.81,70.27,447.67
463,28.93,72.99,1007.23,64.41,434.45
464,16.75,42.23,1013.81,84.98,464.87
465,21.47,58.79,1017.0,76.97,446.33
466,25.98,68.12,1011.36,66.86,439.0
467,16.34,36.99,1006.99,90.06,466.24
468,25.23,69.34,1009.51,82.87,445.92
469,12.41,41.44,1015.46,76.9,472.06
470,24.2,60.77,1016.92,71.65,439.13
471,31.53,70.94,1007.11,50.04,431.84
472,17.42,44.06,1016.63,82.15,456.57
473,6.92,39.61,1018.64,82.27,483.83
474,8.34,40.72,1023.62,83.75,483.14
475,32.07,67.83,1007.91,41.61,429.31
476,27.18,64.79,1016.27,63.7,443.87
477,9.24,41.4,1030.72,87.36,476.9
478,13.48,46.18,1018.15,88.38,464.58
479,28.62,68.24,1010.15,69.31,428.08
480,25.11,62.26,1011.12,78.01,434.97
481,11.47,43.67,1012.68,72.51,475.72
482,29.51,75.6,1017.92,50.61,431.18
483,15.24,39.39,1013.01,74.24,469.79
484,22.71,75.23,1010.48,76.86,444.0
485,17.89,40.12,1011.99,76.52,451.79
486,12.81,44.58,1016.49,80.76,475.5
487,15.54,41.96,1011.78,97.46,467.1
488,20.21,54.9,1016.82,66.56,454.23
489,6.17,36.25,1028.68,90.59,483.77
490,26.42,59.54,1007.02,76.28,438.5
491,14.6,44.47,1028.46,69.96,465.24
492,29.53,72.39,998.47,76.05,431.69
493,13.26,40.83,1007.97,90.63,472.14
494,29.13,66.56,1006.63,52.85,439.31
495,10.8,41.74,1020.24,78.62,479.32
496,25.21,75.6,1017.19,69.84,445.84
497,20.72,44.57,1008.96,72.57,449.76
498,26.17,59.92,1010.01,73.75,444.96
499,17.48,44.2,1018.89,61.51,457.15
500,29.67,73.67,1006.48,64.98,429.28
501,12.08,41.39,1019.45,78.3,477.8
502,25.3,70.98,1007.22,95.1,440.86
503,16.55,39.64,1009.07,77.8,465.29
504,13.18,43.8,1023.18,61.21,467.0
505,21.34,51.61,1010.11,80.7,452.0
506,8.51,38.5,1013.33,64.28,482.39
507,8.83,36.25,1028.86,85.6,478.45
508,14.52,44.84,1023.51,88.51,466.88
509,7.87,43.02,1014.67,83.58,485.61
510,7.14,44.71,1019.98,71.9,487.71
511,7.49,36.08,1020.27,85.69,483.26
512,11.01,40.22,1011.13,83.09,476.69
513,20.74,58.2,1017.54,70.66,450.4
514,30.98,67.48,1009.96,58.92,439.39
515,26.67,70.94,1007.7,56.56,439.13
516,28.24,71.58,1010.1,67.92,434.01
517,11.98,39.35,1014.97,98.05,472.43
518,30.91,69.75,1010.23,59.36,435.7
519,23.23,63.31,1012.52,75.1,441.5
520,30.13,78.05,1010.99,61.5,434.14
521,20.79,65.59,1014.9,77.0,450.3
522,14.38,45.09,1012.95,86.1,464.27
523,10.07,40.46,1018.65,69.2,470.99
524,10.48,41.38,1021.97,65.22,481.41
525,6.86,41.17,1020.12,79.14,490.23
526,13.25,41.62,1010.8,77.81,457.64
527,26.92,51.43,1012.29,59.33,437.35
528,12.76,40.27,1006.58,49.34,474.03
529,10.72,41.38,1021.6,63.77,478.29
530,17.39,46.21,1013.94,82.73,454.06
531,30.97,67.69,1005.61,50.88,425.35
532,28.84,73.03,1013.99,76.05,435.75
533,24.48,64.45,1014.69,51.43,452.82
534,11.23,39.72,1018.46,60.62,475.04
535,16.61,45.87,1009.34,97.93,455.86
536,20.96,61.27,1019.99,67.32,448.77
537,32.15,69.98,1013.3,55.13,429.86
538,21.24,44.57,1008.72,72.57,447.03
539,26.49,78.92,1010.82,83.42,434.91
540,24.01,65.46,1014.17,43.02,443.81
541,33.15,70.4,1003.72,53.98,430.15
542,20.13,40.33,1005.31,85.42,460.09
543,21.41,62.39,1007.84,88.83,452.8
544,31.35,70.8,1010.11,66.37,432.19
545,27.44,58.9,1003.86,66.74,442.19
546,25.21,51.43,1006.43,78.55,439.01
547,32.06,75.33,1001.96,63.15,432.92
548,25.04,51.95,1005.56,66.53,449.45
549,13.31,40.1,1014.81,82.11,468.74
550,29.68,64.33,1011.2,57.73,441.79
551,13.46,44.71,1014.51,50.0,474.6
552,18.77,49.39,1021.06,82.95,454.53
553,13.56,39.18,1023.4,63.82,470.38
554,20.65,66.51,1014.94,71.83,456.49
555,26.5,66.05,1017.03,61.34,440.15
556,23.67,72.24,1011.22,90.45,435.94
557,8.64,41.66,1014.14,80.44,481.89
558,20.2,50.9,1011.72,77.63,454.09
559,5.04,40.64,1021.35,93.63,484.42
560,23.59,59.43,1009.96,65.8,440.61
561,17.47,58.16,1016.36,82.26,456.97
562,30.05,56.9,1007.02,41.96,437.55
563,29.23,68.14,1004.31,81.46,428.87
564,26.03,64.44,1012.75,62.24,445.89
565,26.38,49.5,1012.82,37.19,457.81
566,5.66,40.62,1015.87,84.97,485.18
567,27.65,48.41,1008.54,58.25,440.94
568,17.88,46.97,1013.73,67.78,456.77
569,11.2,37.5,1013.81,72.81,472.2
570,20.94,58.16,1016.88,65.43,455.16
571,20.64,49.21,1014.86,58.47,454.2
572,19.21,60.07,1014.94,70.02,452.84
573,13.22,44.92,1023.84,87.99,471.43
574,33.6,77.17,1009.01,47.53,430.32
575,27.83,59.57,1011.22,71.05,443.85
576,21.11,58.49,1011.6,80.44,449.16
577,30.47,77.3,1002.13,63.7,434.68
578,15.48,47.83,1004.88,81.68,463.67
579,15.87,39.31,1009.95,66.78,460.59
580,22.57,62.4,1009.77,86.05,444.69
581,21.41,54.2,1011.37,82.28,448.11
582,30.86,70.32,1011.88,62.68,433.71
583,23.64,60.95,1014.92,64.91,447.86
584,5.52,42.85,1012.77,93.82,478.98
585,11.06,40.64,1021.47,96.16,479.13
586,10.28,39.61,1020.43,69.09,478.34
587,14.67,71.14,1019.84,77.72,458.8
588,25.15,57.32,1012.41,41.84,440.1
589,21.5,44.58,1016.87,57.58,460.2
590,7.74,39.96,1025.78,95.81,475.23
591,21.31,42.8,1014.1,75.77,459.84
592,29.92,67.22,1014.09,50.62,444.78
593,4.15,39.9,1007.62,95.69,489.8
594,15.95,42.24,1017.71,69.32,465.35
595,25.01,66.56,1004.55,82.46,434.74
596,27.17,67.17,1006.76,81.59,431.73
597,28.14,43.21,1011.82,69.32,436.53
598,13.93,44.47,1025.35,81.54,469.25
599,25.83,70.47,1006.24,81.83,434.45
600,24.4,60.32,1016.5,70.96,447.73
601,26.35,69.48,1008.45,70.47,435.23
602,30.99,69.82,1009.41,50.84,437.46
603,25.82,57.19,1007.99,62.95,440.8
604,29.28,74.33,1011.66,72.37,426.53
605,18.35,57.76,1019.64,77.94,458.41
606,16.69,46.18,1010.8,96.8,466.03
